,loss,accuracy,val_loss,val_accuracy
60,0.2925240695476532,0.886183500289917,0.3596747815608978,0.851224958896637
61,0.2875441908836365,0.8888570666313171,0.36771684885025024,0.8481069207191467
62,0.28305891156196594,0.8914351463317871,0.3672420382499695,0.8516703844070435
63,0.28440505266189575,0.891817033290863,0.3699859082698822,0.8440979719161987
64,0.2849224805831909,0.8921989798545837,0.36983010172843933,0.84454345703125
65,0.2739769220352173,0.8920080065727234,0.37288254499435425,0.8485523462295532
66,0.26855432987213135,0.8970686793327332,0.37418219447135925,0.8525612354278564
67,0.2657737135887146,0.8975460529327393,0.3663196861743927,0.846325159072876
68,0.2567889392375946,0.9006970524787903,0.39582598209381104,0.840534508228302
69,0.23989416658878326,0.9073808789253235,0.4028385579586029,0.8534520864486694
70,0.25567951798439026,0.8977370262145996,0.4189383089542389,0.8383073210716248
71,0.23496289551258087,0.9062350988388062,0.39199766516685486,0.8383073210716248
72,0.22413760423660278,0.911773145198822,0.42177876830101013,0.851224958896637
73,0.23338113725185394,0.9095770120620728,0.4099130928516388,0.8427616953849792
74,0.21468526124954224,0.9133963584899902,0.4233440160751343,0.8543429970741272
75,0.20912566781044006,0.9179795384407043,0.4365791082382202,0.8467705845832825
76,0.21413645148277283,0.9112957119941711,0.43364301323890686,0.84454345703125
77,0.20209580659866333,0.9159744381904602,0.4483524262905121,0.838752806186676
78,0.18852803111076355,0.9229447245597839,0.47760915756225586,0.8307349681854248
79,0.2232598066329956,0.9110092520713806,0.475411057472229,0.8365256190299988
80,0.19913004338741302,0.9197937846183777,0.4809524714946747,0.8258351683616638
81,0.203438401222229,0.9140647649765015,0.4528334438800812,0.832962155342102
82,0.20084798336029053,0.9196982979774475,0.4722590446472168,0.828953206539154
83,0.19610147178173065,0.9201756715774536,0.4762066602706909,0.8481069207191467
84,0.1778707057237625,0.9270505309104919,0.5784665942192078,0.8489977717399597
85,0.16375227272510529,0.9341163039207458,0.6310450434684753,0.8538975715637207
86,0.15167909860610962,0.939272403717041,0.6841959357261658,0.8547884225845337
87,0.12261393666267395,0.9503484964370728,0.6625301241874695,0.8320712447166443
