,fpr,tpr,thresholds
100,0.001688696159779844,0.0019397630568997164,0.52825135
101,0.001688696159779844,0.0019814783914566996,0.52820426
102,0.0017303923612558897,0.0019814783914566996,0.52819276
103,0.0017303923612558897,0.002002336058735191,0.5281875
104,0.001772088562731935,0.002002336058735191,0.52818114
105,0.001772088562731935,0.0020231937260136827,0.52817196
106,0.001792936663469958,0.0020231937260136827,0.5281697
107,0.001792936663469958,0.002064909060570666,0.5281094
108,0.0018137847642079807,0.002064909060570666,0.52810067
109,0.0018137847642079807,0.002106624395127649,0.5280745
110,0.001855480965684026,0.002106624395127649,0.52805007
111,0.001855480965684026,0.002148339729684632,0.52804655
112,0.0018971771671600717,0.002148339729684632,0.52804357
113,0.0018971771671600717,0.0021900550642416153,0.5280215
114,0.0019180252678980944,0.0021900550642416153,0.52800506
