ovr,fpr,tpr,thresholds
0,1.0,1.0,2.2697232e-06
1,0.0,0.0,1.99979
1,0.0,0.005208333333333333,0.9997899
1,0.0,0.015625,0.99973387
1,0.0,0.057291666666666664,0.99940395
1,0.0,0.06770833333333333,0.99939775
1,0.0,0.078125,0.9993636
1,0.0016501650165016502,0.078125,0.999348
1,0.0016501650165016502,0.11979166666666667,0.9991627
1,0.0016501650165016502,0.140625,0.99915135
1,0.0016501650165016502,0.3385416666666667,0.9980502
1,0.0016501650165016502,0.3489583333333333,0.9980203
1,0.0016501650165016502,0.3645833333333333,0.9978508
1,0.0016501650165016502,0.375,0.9977729
1,0.0016501650165016502,0.4791666666666667,0.9959376
1,0.0016501650165016502,0.4895833333333333,0.99576735
1,0.0016501650165016502,0.5677083333333334,0.9947408
1,0.0016501650165016502,0.578125,0.99446326
1,0.0016501650165016502,0.59375,0.9938367
1,0.0033003300330033004,0.59375,0.9932749
1,0.0033003300330033004,0.7291666666666666,0.98343277
1,0.0049504950495049506,0.7291666666666666,0.9831133
1,0.0049504950495049506,0.7552083333333334,0.9797665
1,0.006600660066006601,0.7552083333333334,0.97965676
1,0.006600660066006601,0.8072916666666666,0.9698776
1,0.006600660066006601,0.8177083333333334,0.96705973
1,0.00825082508250825,0.8177083333333334,0.9633632
1,0.00825082508250825,0.8541666666666666,0.93794715
1,0.013201320132013201,0.8541666666666666,0.8853002
1,0.013201320132013201,0.875,0.80658054
1,0.01485148514851485,0.875,0.7986806
1,0.01485148514851485,0.890625,0.6096728
1,0.0165016501650165,0.890625,0.5461402
1,0.0165016501650165,0.9010416666666666,0.504787
1,0.018151815181518153,0.9010416666666666,0.501581
1,0.018151815181518153,0.90625,0.49822572
1,0.02145214521452145,0.90625,0.45477942
1,0.02145214521452145,0.9166666666666666,0.4491412
1,0.026402640264026403,0.9166666666666666,0.39736292
1,0.026402640264026403,0.921875,0.39624128
1,0.03135313531353135,0.921875,0.29103202
1,0.03135313531353135,0.9270833333333334,0.2488466
1,0.04785478547854786,0.9270833333333334,0.11273122
1,0.04785478547854786,0.9322916666666666,0.1033215
1,0.05115511551155116,0.9322916666666666,0.09834144
1,0.05115511551155116,0.9375,0.08071156
1,0.057755775577557754,0.9375,0.058467176
1,0.057755775577557754,0.9479166666666666,0.05778749
1,0.06765676567656766,0.9479166666666666,0.048237346
1,0.06765676567656766,0.953125,0.046236712
1,0.10231023102310231,0.953125,0.02137042
1,0.10231023102310231,0.9583333333333334,0.020605154
1,0.12046204620462046,0.9583333333333334,0.0144948205
1,0.12046204620462046,0.9635416666666666,0.013885963
1,0.1551155115511551,0.9635416666666666,0.007935155
1,0.15841584158415842,0.9635416666666666,0.00782371
1,0.21782178217821782,0.9635416666666666,0.0025575089
1,0.21782178217821782,0.96875,0.0025261673
1,0.2590759075907591,0.96875,0.001828719
1,0.2590759075907591,0.9739583333333334,0.0017864839
1,0.3118811881188119,0.9739583333333334,0.0010906768
1,0.3118811881188119,0.9791666666666666,0.001089329
