fpr,tpr,thresholds
0.00029025358997861287,0.03190127970749543,0.9885057
0.00029025358997861287,0.03193174893357709,0.98850024
0.00029025358997861287,0.03308957952468007,0.98794156
0.00030553009471432935,0.03308957952468007,0.9879298
0.00030553009471432935,0.033927483241925654,0.9875503
0.00032080659945004584,0.033927483241925654,0.9875354
0.00032080659945004584,0.03395795246800731,0.9874993
0.00032080659945004584,0.03398842169408897,0.9874945
0.00032080659945004584,0.03436928702010969,0.9873055
0.00032080659945004584,0.03439975624619135,0.9873038
0.00032080659945004584,0.03470444850700792,0.98717916
0.00033608310418576227,0.03470444850700792,0.98716486
0.00033608310418576227,0.034902498476538694,0.9870936
0.00035135960892147876,0.034902498476538694,0.9870934
0.00035135960892147876,0.034917733089579524,0.98705727
0.00035135960892147876,0.03494820231566118,0.9870477
0.00035135960892147876,0.03645642900670323,0.98630804
0.00035135960892147876,0.036486898232784885,0.9863018
0.00035135960892147876,0.03668494820231566,0.98621446
0.00035135960892147876,0.03671541742839732,0.98620737
0.00035135960892147876,0.037141986593540524,0.98604614
0.00035135960892147876,0.03717245581962218,0.9860438
0.00035135960892147876,0.03752285191956124,0.9858846
0.00035135960892147876,0.0375533211456429,0.98587245
0.00035135960892147876,0.03816270566727605,0.98562837
0.00036663611365719525,0.03816270566727605,0.9856259
0.00036663611365719525,0.03842169408897014,0.98551905
0.0003819126183929117,0.03842169408897014,0.9855101
0.0003819126183929117,0.03860450944546009,0.98536354
0.00039718912312862816,0.03860450944546009,0.9853615
0.00039718912312862816,0.03881779402803169,0.98525906
0.00041246562786434465,0.03881779402803169,0.9852492
0.00041246562786434465,0.040569774527727,0.98449856
0.0004277421326000611,0.040569774527727,0.98448515
0.0004277421326000611,0.04072212065813528,0.9844206
0.00044301863733577757,0.04072212065813528,0.9844126
0.00044301863733577757,0.04085923217550274,0.98437655
0.00045829514207149406,0.04085923217550274,0.9843614
0.00045829514207149406,0.041042047531992684,0.98426485
0.0004735716468072105,0.041042047531992684,0.9842629
0.0004735716468072105,0.04134673979280926,0.98409307
0.0004735716468072105,0.04137720901889092,0.98407704
0.0004735716468072105,0.04149908592321755,0.98399854
0.000488848151542927,0.04149908592321755,0.9839908
0.000488848151542927,0.04183424741011578,0.983859
0.0005041246562786434,0.04184948202315661,0.98385805
0.0005041246562786434,0.04297684338817794,0.9834029
0.0005041246562786434,0.0430073126142596,0.9834012
0.0005041246562786434,0.04302254722730043,0.9833994
0.0005194011610143599,0.04302254722730043,0.98339474
0.0005194011610143599,0.04306825106642291,0.9833482
0.0005194011610143599,0.04309872029250457,0.983343
0.0005194011610143599,0.043281535648994514,0.9832318
0.0005346776657500764,0.043281535648994514,0.9832214
0.0005346776657500764,0.04344911639244363,0.98316836
0.0005346776657500764,0.04347958561852529,0.9831669
0.0005346776657500764,0.044424131627056676,0.98267096
0.0005499541704857929,0.044424131627056676,0.9826706
0.0005499541704857929,0.04472882388787325,0.98246485
0.0005652306752215094,0.04472882388787325,0.98244953
0.0005652306752215094,0.044774527726995736,0.9824372
0.0005805071799572257,0.044774527726995736,0.9824325
0.0005805071799572257,0.045170627666057284,0.98223245
0.0005957836846929422,0.045170627666057284,0.9822311
0.0005957836846929422,0.045399146861669716,0.982142
0.0006110601894286587,0.045399146861669716,0.9821416
0.0006110601894286587,0.04628275441803778,0.98171896
0.0006110601894286587,0.04631322364411944,0.98170435
0.0006110601894286587,0.04635892748324193,0.9816913
0.0006263366941643752,0.04635892748324193,0.9816798
0.0006263366941643752,0.04684643510054844,0.9813964
0.0006416131989000917,0.04684643510054844,0.9813887
